Order,Status,Destination state,Items,Goods after discount (Rs),Shipping + COD (Rs),"Order total (Rs, GST-inclusive)",GST charged (Rs) - 18% IGST,Taxable value as charged (Rs),Likely GST @5% incl. shipping/COD (Rs),Likely tax type,Likely GST @5% goods only (Rs),Difference vs likely incl. shipping (Rs),Status note
#1016,Cancelled,Gujarat,Punjabi Gravy Masala 100g,100.00,179.00,279.00,42.56,236.44,13.29,CGST 6.64 + SGST 6.64,4.76,29.27,PROVISIONAL - assumes 5% on all items; pending CA
#1015,Cancelled,Gujarat,Tandoori Chicken Masala 100g; No.300 Hing 500g,480.00,149.00,629.00,95.95,533.05,29.95,CGST 14.98 + SGST 14.98,22.86,66.00,PROVISIONAL - assumes 5% on all items; pending CA
#1014,Cancelled,Gujarat,No.300 Hing 50g; Rajwadi GM 50g; Red Label Hing 500g,340.00,149.00,489.00,74.59,414.41,23.29,CGST 11.64 + SGST 11.64,16.19,51.30,PROVISIONAL - assumes 5% on all items; pending CA
#1013,Paid,Gujarat,Premium Hing 500g,570.00,49.00,619.00,94.42,524.58,29.48,CGST 14.74 + SGST 14.74,27.14,64.94,PROVISIONAL - assumes 5% on all items; pending CA
#1012,Paid,Maharashtra,No.300 Hing 500g,351.50,49.00,400.50,61.09,339.41,19.07,IGST,16.74,42.02,PROVISIONAL - assumes 5% on all items; pending CA
#1011,Paid,Madhya Pradesh,Rajwadi GM 200g,156.75,49.00,205.75,31.38,174.37,9.80,IGST,7.46,21.58,PROVISIONAL - assumes 5% on all items; pending CA
#1010,Paid,Gujarat,Chat 50g; Rajwadi GM 50g; Premium Tea 100g x2,380.00,49.00,429.00,65.44,363.56,20.43,CGST 10.21 + SGST 10.21,18.10,45.01,PROVISIONAL - assumes 5% on all items; pending CA
#1009,Paid,Assam,Chhas Masala 200g,118.75,49.00,167.75,25.59,142.16,7.99,IGST,5.65,17.60,PROVISIONAL - assumes 5% on all items; pending CA
#1008,Paid,Gujarat,No.300 Hing 500g,351.50,49.00,400.50,61.09,339.41,19.07,CGST 9.54 + SGST 9.54,16.74,42.02,PROVISIONAL - assumes 5% on all items; pending CA
#1007,Paid,Maharashtra,Chhas Masala 200g x2,237.50,49.00,286.50,43.70,242.80,13.64,IGST,11.31,30.06,PROVISIONAL - assumes 5% on all items; pending CA
#1006,Paid,Odisha,Premium Tea Masala 50g,76.00,49.00,125.00,19.07,105.93,5.95,IGST,3.62,13.12,PROVISIONAL - assumes 5% on all items; pending CA
#1005,Paid,Odisha,No.300 Hing 100g,76.00,49.00,125.00,19.07,105.93,5.95,IGST,3.62,13.12,PROVISIONAL - assumes 5% on all items; pending CA
#1004,Paid,Gujarat,Chat Masala 500g,285.00,49.00,334.00,50.95,283.05,15.90,CGST 7.95 + SGST 7.95,13.57,35.05,PROVISIONAL - assumes 5% on all items; pending CA
#1003,Refunded / cancelled,Gujarat,Rajwadi GM 50g,42.75,49.00,91.75,13.99,77.76,4.37,CGST 2.18 + SGST 2.18,2.04,9.62,PROVISIONAL - assumes 5% on all items; pending CA
#1002,Cancelled (Rs 0 test),Maharashtra,Premium Hing 50g,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,PROVISIONAL - assumes 5% on all items; pending CA
#1001,Refunded / cancelled,Gujarat,Rajwadi GM 50g,42.75,49.00,91.75,13.99,77.76,4.37,CGST 2.18 + SGST 2.18,2.04,9.62,PROVISIONAL - assumes 5% on all items; pending CA
