Title,URL handle,Vendor,Product category,Type,Tags,Published on online store,Status,Option1 name,Option1 value,Option2 name,Option2 value,Price,Charge tax,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text
Biryani / Pulav Masala,biryani-pulav-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, jain-friendly",true,Active,Pack Size,100g,Pack Type,Box,120,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/49_800x800.png,1,Biryani / Pulav Masala product pack
Rock Salt,rock-salt,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Upwas Products,"upwas-products, vrat-ki-thali, pouch, jain-friendly",true,Active,Pack Size,1kg,Pack Type,Pouch,110,true,1000,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/55_800x800.png,1,Rock Salt product pack
Rajwadi Garam Masala,rajwadi-garam-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, pouch, jain-friendly",true,Active,Pack Size,100g,Pack Type,Pouch,85,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/57_800x800.png,1,Rajwadi Garam Masala product pack
,rajwadi-garam-masala,,,,,,,Pack Size,200g,Pack Type,Pouch,165,true,200,g,true,manual,,,
,rajwadi-garam-masala,,,,,,,Pack Size,500g,Pack Type,Pouch,410,true,500,g,true,manual,,,
Punjabi Gravy Masala,punjabi-gravy-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, jar, jain-friendly",true,Active,Pack Size,100g,Pack Type,Box,100,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/59_800x800.png,1,Punjabi Gravy Masala product pack
,punjabi-gravy-masala,,,,,,,Pack Size,500g,Pack Type,Jar,490,true,500,g,true,manual,,,
Rajgara Atta,rajgara-atta,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Baking Ingredients > Flour",Upwas Products,"upwas-products, vrat-ki-thali, pouch, jain-friendly",true,Active,Pack Size,100g,Pack Type,Pouch,40,true,100,g,true,manual,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/61_800x800.png,1,Rajgara Atta product pack
,rajgara-atta,,,,,,,Pack Size,200g,Pack Type,Pouch,70,true,200,g,true,manual,,,
,rajgara-atta,,,,,,,Pack Size,500g,Pack Type,Pouch,170,true,500,g,true,manual,,,
