Title,URL handle,Vendor,Product category,Type,Tags,Option1 name,Option1 value,Option2 name,Option2 value,Price,Charge tax,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service
Chicken Masala,chicken-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, not-jain-friendly",Pack Size,100g,Pack Type,Box,110,TRUE,100,g,TRUE,manual
,chicken-masala,,,,,Pack Size,500g,Pack Type,Jar,540,TRUE,500,g,TRUE,manual
Chicken Tikka Masala,chicken-tikka-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, not-jain-friendly",Pack Size,100g,Pack Type,Box,110,TRUE,100,g,TRUE,manual
Chillie Flakes,chilli-flakes,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",Pack Size,12g,Pack Type,Pouch,15,TRUE,12,g,TRUE,manual
Cumin Powder,cumin-powder,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Essential Powder Products,"essential-powder-products, rozmarra-rasoi, pouch, jain-friendly",Pack Size,12g,Pack Type,Pouch,15,TRUE,12,g,TRUE,manual
,cumin-powder,,,,,Pack Size,500g,Pack Type,Pouch,390,TRUE,500,g,TRUE,manual
Dabeli Masala,dabeli-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",Pack Size,18g,Pack Type,Pouch,15,TRUE,18,g,TRUE,manual
Egg Curry Masala,egg-curry-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, not-jain-friendly",Pack Size,12g,Pack Type,Pouch,15,TRUE,12,g,TRUE,manual
Fish Masala,fish-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, not-jain-friendly",Pack Size,12g,Pack Type,Pouch,15,TRUE,12,g,TRUE,manual
Frankie Masala,frankie-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",Pack Size,17g,Pack Type,Pouch,15,TRUE,17,g,TRUE,manual
Dry Ginger Powder,ginger-powder,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Essential Powder Products,"essential-powder-products, rozmarra-rasoi, pouch, jain-friendly",Pack Size,12g,Pack Type,Pouch,15,TRUE,12,g,TRUE,manual
,ginger-powder,,,,,Pack Size,50g,Pack Type,Pouch,60,TRUE,50,g,TRUE,manual
,ginger-powder,,,,,Pack Size,500g,Pack Type,Pouch,490,TRUE,500,g,TRUE,manual
Kadhi Masala,kadhi-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",Pack Size,27g,Pack Type,Pouch,15,TRUE,27,g,TRUE,manual
Khichdi Masala,khichdi-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",Pack Size,23g,Pack Type,Pouch,15,TRUE,23,g,TRUE,manual
Mutton Masala,mutton-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, not-jain-friendly",Pack Size,100g,Pack Type,Box,110,TRUE,100,g,TRUE,manual
Oregano Flakes,oregano,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Rs.10/- Masala Products,"rs-10-masala-products, jhatpat-jugad, pouch, jain-friendly",Pack Size,12g,Pack Type,Pouch,15,TRUE,12,g,TRUE,manual
Paneer Tikka Masala,paneer-tikka-masala,Dhanhar Vishesh,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",Premium Blended Spices,"premium-blended-spices, rozmarra-rasoi, box, jain-friendly",Pack Size,100g,Pack Type,Box,110,TRUE,100,g,TRUE,manual
