Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
aachar-masala,Aachar Masala,Dhanhar Vishesh,Achari Vichar,"achari-vichar, easy-to-cook, jain-friendly, pouch",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Achari Vichar
aachar-masala,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,55,TRUE,TRUE,,,,,
aachar-masala,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,110,TRUE,TRUE,,,,,
aachar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,270,TRUE,TRUE,,,,,
biryani-pulav-masala,Biryani / Pulav Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,47,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_117_800x800_3424745a-c630-4fdd-acef-8b0bbfba09ff.png?v=1787912435,active,Premium Blended Spices
biryani-pulav-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,92,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_117_800x800_3424745a-c630-4fdd-acef-8b0bbfba09ff.png?v=1787912435,,
black-label-compound-hing,Black Label Compound Hing,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,360,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/107_800x800_e55fa9aa-3aba-4d1e-bb4e-7678c93631b7.png?v=1787885410,active,Compound Hing Powder (Asafoetida)
black-salt,Black Salt,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,80,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/97_800x800_fff929d4-bc5a-4ac6-bf6c-53338683a296.png?v=1787885407,active,Essential Powder Products
chat-masala,Chat Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,26,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_119_800x800_7abef175-d8c8-443e-aa02-b260b38f477c.png?v=1787912437,active,Premium Blended Spices
chat-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,50,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_119_800x800_7abef175-d8c8-443e-aa02-b260b38f477c.png?v=1787912437,,
chat-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,230,TRUE,TRUE,,,,,
chevdo-masala,Chevdo Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,20g,Pack Type,Pouch,20,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/109_800x800_64eacb37-d29a-4159-8d95-50fb03909c1a.png?v=1787885411,active,Easy to Cook
chhas-masala,Chhas Masala,Dhanhar Vishesh,Premium Blended Spices,"easy-to-cook, jain-friendly, jar, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,17g,Pack Type,Pouch,17,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/87_800x800_0fff622d-feb1-40c4-b904-31fc3adaf870.png?v=1787885404,active,Premium Blended Spices
chhas-masala,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,95,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/87_800x800_0fff622d-feb1-40c4-b904-31fc3adaf870.png?v=1787885404,,
chhas-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,275,TRUE,TRUE,,,,,
chhole-chana-masala,Chhole-Chana Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_121_800x800_7193c7ef-8103-4ba8-b606-2981d9c7aede.png?v=1787912439,active,Premium Blended Spices
chhole-chana-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_121_800x800_7193c7ef-8103-4ba8-b606-2981d9c7aede.png?v=1787912439,,
chhole-chana-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
chicken-masala,Chicken Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jar, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_125_800x800_a661c816-39f3-49a5-a9aa-e4baed8d27ba.png?v=1787912441,active,Premium Blended Spices
chicken-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_125_800x800_a661c816-39f3-49a5-a9aa-e4baed8d27ba.png?v=1787912441,,
chicken-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,415,TRUE,TRUE,,,,,
chicken-tikka-masala,Chicken Tikka Masala,Dhanhar Vishesh,Premium Blended Spices,"box, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_123_800x800_c4149c79-efda-4c57-abf8-3d3d4a44ab9f.png?v=1787912445,active,Premium Blended Spices
chicken-tikka-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_123_800x800_c4149c79-efda-4c57-abf8-3d3d4a44ab9f.png?v=1787912445,,
chilli-powder,Chilli Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,59,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/65_800x800.png,Chilli Powder Pouch pack,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/65_800x800.png,active,Essential Powder Products
chilli-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,115,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/65_800x800.png,,
chilli-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,278,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/65_800x800.png,,
chilli-powder,,,,,,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,550,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/65_800x800.png,,
chilli-flakes,Chillie Flakes,Dhanhar Vishesh,Easy to Cook,"bestseller, easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Dhanhar_Vishesh_Chilli_Flakes_Rs_10_Front_3D.png?v=1787636507,active,Easy to Cook
