Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image,Status,Collection
aachar-masala,Aachar Masala,Dhanhar Vishesh,Achari Vichar,"achari-vichar, easy-to-cook, jain-friendly, pouch",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Achari Vichar
aachar-masala,,,,,,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,55,TRUE,TRUE,,,,,
aachar-masala,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,110,TRUE,TRUE,,,,,
aachar-masala,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,270,TRUE,TRUE,,,,,
biryani-pulav-masala,Biryani / Pulav Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,47,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_117_800x800.png,Biryani / Pulav Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_117_800x800.png,active,Premium Blended Spices
biryani-pulav-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,92,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_117_800x800.png,,
biryani-pulav-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_118_800x800.png,Biryani / Pulav Masala box back,,,
black-label-compound-hing,Black Label Compound Hing,Dhanhar Vishesh,Compound Hing Powder (Asafoetida),"asafoetida-hing, compound-hing-powder-asafoetida, hing-ka-tadka, jain-friendly, pouch",TRUE,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,360,TRUE,TRUE,,,,active,Compound Hing Powder (Asafoetida)
black-salt,Black Salt,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch, rozmarra-rasoi",TRUE,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,80,TRUE,TRUE,,,,active,Essential Powder Products
chat-masala,Chat Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,26,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_119_800x800.png,Chat Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_119_800x800.png,active,Premium Blended Spices
chat-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,50,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_119_800x800.png,,
chat-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,230,TRUE,TRUE,,,,,
chat-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_120_800x800.png,Chat Masala box back,,,
chevdo-masala,Chevdo Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,20g,Pack Type,Pouch,20,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
chhas-masala,Chhas Masala,Dhanhar Vishesh,Premium Blended Spices,"easy-to-cook, jain-friendly, jar, pouch, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,17g,Pack Type,Pouch,17,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Premium Blended Spices
chhas-masala,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,95,TRUE,TRUE,,,,,
chhas-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,275,TRUE,TRUE,,,,,
chhole-chana-masala,Chhole-Chana Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jain-friendly, jar, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,39,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_121_800x800.png,Chhole-Chana Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_121_800x800.png,active,Premium Blended Spices
chhole-chana-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,77,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_121_800x800.png,,
chhole-chana-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,375,TRUE,TRUE,,,,,
chhole-chana-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_122_800x800.png,Chhole-Chana Masala box back,,,
chicken-masala,Chicken Masala,Dhanhar Vishesh,Premium Blended Spices,"box, jar, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_125_800x800.png,Chicken Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_125_800x800.png,active,Premium Blended Spices
chicken-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_125_800x800.png,,
chicken-masala,,,,,,Pack Size,500g,Pack Type,Jar,500,shopify,100,deny,manual,415,TRUE,TRUE,,,,,
chicken-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_126_800x800.png,Chicken Masala box back,,,
chicken-tikka-masala,Chicken Tikka Masala,Dhanhar Vishesh,Premium Blended Spices,"box, not-jain-friendly, premium-blended-spices, rozmarra-rasoi",TRUE,Pack Size,50g,Pack Type,Box,50,shopify,100,deny,manual,42,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_123_800x800.png,Chicken Tikka Masala 50g Box front,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_123_800x800.png,active,Premium Blended Spices
chicken-tikka-masala,,,,,,Pack Size,100g,Pack Type,Box,100,shopify,100,deny,manual,83,TRUE,TRUE,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_123_800x800.png,,
chicken-tikka-masala,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/6762/5841/files/Untitled_design_-_124_800x800.png,Chicken Tikka Masala box back,,,
chilli-powder,Chilli Powder,Dhanhar Vishesh,Essential Powder Products,"essential-powder-products, jain-friendly, pouch",TRUE,Pack Size,100g,Pack Type,Pouch,100,shopify,100,deny,manual,59,TRUE,TRUE,,,,active,Essential Powder Products
chilli-powder,,,,,,Pack Size,200g,Pack Type,Pouch,200,shopify,100,deny,manual,115,TRUE,TRUE,,,,,
chilli-powder,,,,,,Pack Size,500g,Pack Type,Pouch,500,shopify,100,deny,manual,278,TRUE,TRUE,,,,,
chilli-powder,,,,,,Pack Size,1kg,Pack Type,Pouch,1000,shopify,100,deny,manual,550,TRUE,TRUE,,,,,
chilli-flakes,Chillie Flakes,Dhanhar Vishesh,Easy to Cook,"bestseller, easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,12g,Pack Type,Pouch,12,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
red-chutney-masala,Chutney Masala,Dhanhar Vishesh,Easy to Cook,"easy-to-cook, jain-friendly, jhatpat-jugad, pouch, rs-10-masala-products",TRUE,Pack Size,35g,Pack Type,Pouch,35,shopify,100,deny,manual,10,TRUE,TRUE,,,,active,Easy to Cook
